Australia,Darwin Northern Territory,0.3,0.2,0.3,0.7,0.8,0.6,0.6,0.6,0.7,0.6,0.7,0.5
Australia,Esperance,1.0,1.0,0.875,0.5,0.25,0.0,0.0,0.125,0.375,0.625,0.875,1.0
Australia,Esperance Western Australia,1.0,1.0,1.0,0.625,0.375,0.25,0.25,0.25,0.5,0.625,0.75,1.0
Australia,Hobart Tasmania,1.0,1.0,0.8,0.7,0.2,0.3,0.3,0.1,0.4,0.6,0.7,1.0
Australia,Kalgoorlie Western Australia,1.0,0.875,0.75,0.75,0.25,0.25,0.25,0.5,0.75,0.875,1.0,1.0
Australia,Mackay Queensland,0.5,0.25,0.25,0.125,0.125,0.5,0.5,0.5,0.875,0.875,0.875,0.875
Australia,Macquarie Island Südpazifik,0.625,0.75,0.5,0.375,0.25,0.25,0.375,0.375,0.5,0.625,0.875,1.0
Australia,Melbourne,1.0,1.0,0.875,0.5,0.25,0.0,0.0,0.125,0.375,0.5,0.625,1.0
Australia,Melbourne Victoria,1.0,1.0,0.8,0.7,0.2,0.2,0.2,0.0,0.4,0.5,0.7,1.0
Australia,Perth Western Australia,1.0,1.0,0.9,0.6,0.3,0.1,0.1,0.1,0.4,0.5,0.7,0.9
Australia,Port Hedland Western Australia,0.5,0.5,0.5,0.75,0.5,0.5,0.75,0.75,0.875,0.875,0.75,0.875
Australia,Rockhampton Queensland,0.5,0.5,0.375,0.625,0.625,0.625,0.625,0.75,0.875,0.875,0.875,0.75
Australia,Sydney,0.875,0.875,0.625,0.5,0.25,0.375,0.375,0.625,0.75,0.75,0.75,0.875
Australia,Sydney New South Wales,0.8,0.5,0.5,0.4,0.2,0.3,0.4,0.5,0.8,0.7,0.6,1.0
Australia,Thursday Island Queensland,0.5,0.375,0.5,0.625,0.625,0.5,0.625,0.75,0.75,0.875,0.875,0.75
Australia,Townsville Queensland,0.5,0.4,0.3,0.3,0.3,0.4,0.5,0.6,0.8,0.7,0.7,0.6
Austria,Bregenz,0.16666666666666666,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.3333333333333333,0.16666666666666666
Austria,Eisenstadt,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8333333333333334,0.6666666666666666,0.0,0.16666666666666666
Austria,Feldkirch Vorarlberg,0.1,0.3,0.4,0.6,0.6,0.8,0.8,0.7,0.8,0.5,0.3,0.1
Austria,Graz,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.3333333333333333
Austria,Innsbruck,0.25,0.375,0.75,0.75,0.625,0.75,0.625,0.625,0.75,0.5,0.25,0.25
Austria,Klagenfurt,0.25,0.375,0.5,0.625,0.625,0.75,0.75,0.625,0.625,0.5,0.125,0.25
Austria,Lienz,0.25,0.375,0.625,0.625,0.625,0.625,0.75,0.625,0.75,0.5,0.25,0.25
Austria,Linz,0.125,0.25,0.75,0.75,0.75,0.875,0.75,0.75,0.75,0.625,0.25,0.125
Austria,Salzburg,0.125,0.375,0.625,0.625,0.625,0.625,0.75,0.625,0.875,0.5,0.25,0.25
Austria,Sonnblick  / Hohe Tauern,0.5,0.5,0.375,0.375,0.375,0.375,0.625,0.625,0.875,0.875,0.625,0.5
Austria,St. Pölten,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.0
Austria,Vienna,0.0,0.25,0.375,0.625,0.625,0.75,0.875,1.0,0.875,0.625,0.125,0.0
Azerbaijan,Baku,0.1,0.1,0.2,0.5,0.7,1.0,1.0,1.0,0.8,0.5,0.3,0.1
Azerbaijan,Gjandsha,0.25,0.25,0.25,0.375,0.5,0.75,1.0,1.0,0.875,0.375,0.5,0.375
Azerbaijan,Lenkoran,0.1,0.1,0.2,0.6,0.7,1.0,1.0,0.9,0.8,0.4,0.2,0.1
Bahamas,Freeport,0.6,0.5,0.6,0.8,0.6,0.8,0.6,0.7,0.4,0.4,0.6,0.3
Bahamas,Nassau,0.6,0.5,0.6,0.8,0.6,0.8,0.6,0.7,0.4,0.4,0.6,0.3
Bahamas,Nassau / New Providence,0.3,0.4,0.5,0.7,0.7,0.5,0.8,0.6,0.4,0.4,0.5,0.4
Bahrain,Muharrak,0.0,0.1,0.1,0.6,0.8,1.0,1.0,1.0,1.0,0.7,0.4,0.0
Bangladesh,Bogra,0.5,0.5,0.875,0.875,0.875,0.625,0.5,0.5,0.375,0.5,0.75,0.75
Bangladesh,Chittagong,0.5,0.625,0.875,0.875,0.75,0.375,0.25,0.125,0.25,0.5,0.625,0.625
Bangladesh,Comilla,0.625,0.5,0.625,0.625,0.625,0.5,0.5,0.5,0.75,0.75,0.75,0.75
Bangladesh,Dhaka,0.625,0.625,0.875,0.875,0.625,0.375,0.125,0.25,0.25,0.5,0.625,0.5
Bangladesh,Jessore,0.5,0.5,0.75,0.75,0.75,0.75,0.625,0.625,0.625,0.625,0.625,0.625
Bangladesh,Srimangal,0.5,0.625,0.5,0.875,0.75,0.375,0.5,0.375,0.375,0.5,0.5,0.375
Barbados,Bridgetown,0.3,0.6,0.6,0.7,0.9,0.7,0.5,0.7,0.5,0.4,0.3,0.2
Belgium,Antwerp,0.0,0.125,0.625,0.625,0.875,1.0,0.875,0.875,0.75,0.375,0.0,0.0
Belgium,Brüssel,0.0,0.125,0.625,0.625,0.875,1.0,0.875,0.875,0.75,0.375,0.0,0.0
Belgium,Gent,0.125,0.375,0.5,0.625,0.75,0.75,1.0,1.0,0.625,0.625,0.125,0.125
Belgium,Oostende,0.125,0.125,0.375,0.5,0.75,0.875,0.875,0.75,0.875,0.625,0.25,0.125
Belize,Belize City,0.2,0.5,0.7,0.8,0.9,0.8,0.7,0.8,0.5,0.3,0.2,0.2
Benin,Bohicon,1.0,1.0,0.6666666666666666,0.8333333333333334,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,1.0,1.0
Benin,Cotonou,0.625,0.875,0.875,0.875,0.625,0.125,0.125,0.125,0.0,0.25,0.75,0.875
Benin,Kandi,0.8333333333333334,1.0,0.6666666666666666,0.6666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.5,1.0,0.8333333333333334
Benin,Savé,1.0,1.0,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.8333333333333334,1.0
Bolivia,Cochabamba,0.25,0.25,0.375,0.625,0.75,0.625,0.75,1.0,0.875,0.875,0.875,0.75
Bolivia,La Paz,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5
Bolivia,La Paz - El Alto,0.125,0.125,0.125,0.375,0.875,0.75,0.75,0.875,0.75,0.625,0.5,0.5
Bolivia,La Quiaca / Anden Prov. Jujuy,0.25,0.125,0.25,0.5,0.75,0.5,0.625,0.75,0.625,0.75,0.75,0.375
Bolivia,Puerto Suarez  Prov. Santa Cruz,0.5,0.5,0.625,0.5,0.375,0.625,0.625,0.75,0.875,0.75,0.75,0.75
